c1,c2,c3,c4,t1-1,t1-2,t1-3,t1-4,t1-5,t2-1,t2-2,t2-3,t2-4,t2-5,t3-1,t3-2,t3-3,t3-4,t3-5,t4-1,t4-2,t4-3,t4-4,t4-5,t5-1,t5-2,t5-3,t5-4,t5-5,t6-1,t6-2,t6-3,t6-4,t6-5,t7-1,t7-2,t7-3,t7-4,t7-5,t8-1,t8-2,t8-3,t8-4,t8-5,t9-1,t9-2,t9-3,t9-4,t9-5,t10-1,t10-2,t10-3,t10-4,t10-5,result
52,28,0,0,31,64,22,51,68,70,1,71,41,21,62,24,73,44,25,27,63,48,50,66,29,72,32,9,2,65,46,47,33,67,42,6,49,12,3,43,69,23,30,5,7,13,53,8,45,4,10,26,61,11,2
51,7,0,0,3,43,53,71,65,8,69,62,42,23,64,41,73,32,44,24,72,25,13,4,12,26,68,2,61,22,63,50,30,66,48,6,47,27,21,52,67,29,10,9,31,1,49,70,11,33,45,46,5,28,2
2,64,0,0,27,3,70,53,32,21,22,61,31,50,10,23,49,42,69,5,41,28,65,30,12,8,13,25,44,66,24,33,52,68,9,72,6,63,7,48,26,43,71,11,73,46,67,45,51,4,47,1,29,62,3
32,11,0,0,28,6,41,64,10,73,45,1,63,33,24,53,8,50,26,43,51,69,68,4,3,2,49,30,52,44,13,46,62,5,23,48,7,21,65,70,29,22,61,47,72,9,31,71,67,27,66,42,12,25,1
68,62,0,0,26,30,43,73,46,66,23,9,32,48,41,50,45,13,4,51,25,10,64,52,22,71,8,42,12,5,6,33,69,72,31,61,29,28,7,49,24,70,1,47,44,3,2,11,21,67,53,65,27,63,1
70,4,0,0,3,46,53,22,63,13,11,28,61,8,50,7,51,10,49,33,66,41,43,29,6,12,68,67,45,71,24,31,72,48,9,21,30,65,64,25,26,62,27,69,23,52,42,47,32,44,1,5,2,73,1
25,32,0,0,48,49,3,64,45,6,28,51,65,66,62,9,63,53,73,47,70,72,21,71,11,2,10,26,31,22,68,23,43,7,52,42,41,27,24,67,46,44,13,5,69,61,50,12,29,33,4,8,30,1,1
46,65,0,0,22,69,51,29,21,31,8,61,4,62,30,1,32,12,49,73,72,43,33,10,47,2,71,44,7,27,24,68,52,45,9,48,53,23,64,28,11,6,3,63,5,66,13,50,42,67,70,41,26,25,2
69,8,0,0,53,31,30,9,44,47,68,41,50,13,33,61,45,72,29,24,46,10,11,52,22,51,64,70,6,23,43,62,66,25,26,5,28,73,49,1,27,7,67,3,65,32,4,48,21,12,71,63,42,2,2
64,41,0,0,30,65,53,52,4,10,21,11,22,33,72,2,62,70,51,50,63,6,13,69,5,45,1,49,25,31,42,71,9,27,44,26,12,68,24,48,66,7,67,3,46,23,47,29,61,8,28,73,32,43,1
71,7,0,0,69,5,73,66,8,28,43,52,10,48,13,42,31,41,1,26,49,72,62,67,12,63,30,44,61,21,70,51,3,32,24,45,47,33,68,65,4,46,11,9,2,27,29,23,25,64,50,6,22,53,3
32,44,0,0,13,41,28,26,1,22,66,27,9,71,30,21,50,72,4,24,3,53,42,64,67,10,7,62,6,61,25,65,11,12,49,43,46,31,63,70,73,33,47,52,8,23,5,48,45,2,51,69,68,29,1
62,29,0,0,44,31,27,61,53,70,32,21,45,46,72,47,7,12,6,9,66,11,43,42,13,41,52,28,23,48,65,10,63,71,69,64,30,2,25,68,22,73,3,50,26,8,24,5,33,4,49,51,67,1,1
2,6,0,0,28,4,46,41,65,42,62,51,1,69,22,43,29,33,71,25,24,32,31,44,70,47,3,8,10,49,11,67,5,72,64,52,7,9,13,63,27,21,53,50,45,61,73,48,30,26,12,68,23,66,2
67,65,0,0,52,63,50,31,53,3,46,48,72,32,68,8,27,23,73,43,9,71,66,21,25,1,70,30,64,29,45,41,12,61,2,7,33,24,51,5,11,10,62,22,26,6,69,13,4,28,47,44,42,49,3
5,67,0,0,32,10,2,47,69,28,29,13,21,72,49,44,52,64,25,70,51,26,27,71,22,48,30,3,46,65,9,73,41,23,12,8,4,11,42,66,45,61,53,1,43,24,63,33,6,50,68,62,7,31,1
7,52,0,0,25,44,42,33,8,63,13,69,46,9,73,41,45,12,47,71,70,3,66,11,5,43,27,53,1,28,31,68,24,2,30,61,29,26,64,23,10,48,6,65,49,50,21,51,67,72,62,32,4,22,1
68,65,0,0,52,51,62,46,49,66,22,6,70,8,48,53,2,5,42,30,26,72,13,23,73,69,43,47,44,4,67,50,32,7,41,24,1,3,71,28,61,33,31,9,64,10,29,27,12,11,25,21,63,45,1
43,10,0,0,30,62,71,70,24,27,52,6,47,31,25,21,44,51,32,7,3,1,33,73,48,22,64,65,61,45,50,53,9,4,28,69,13,2,49,68,67,41,11,26,8,72,12,66,23,29,5,63,42,46,1
42,49,0,0,48,1,70,62,63,25,68,51,66,12,7,28,46,29,8,47,30,50,69,6,23,27,22,61,4,33,9,53,43,45,3,24,31,52,44,26,32,65,71,64,2,73,67,5,21,11,13,10,41,72,1
6,52,0,0,4,51,30,33,61,28,32,68,66,2,53,11,48,46,69,12,27,44,65,62,47,67,24,73,5,43,71,8,29,31,22,23,41,50,70,10,13,21,1,49,7,9,25,45,64,3,26,72,42,63,1
30,71,0,0,67,26,68,7,69,1,50,63,72,23,2,47,5,13,53,65,52,48,51,44,62,33,11,61,3,29,45,24,27,6,66,22,49,28,31,4,8,21,64,9,42,32,46,73,12,10,41,43,25,70,1
72,47,0,0,71,11,32,62,50,49,26,61,22,12,53,2,23,1,31,3,51,69,28,66,6,30,25,27,41,4,42,65,21,44,45,24,5,63,67,29,73,68,33,48,10,8,7,9,52,46,13,64,43,70,1
7,24,0,0,67,12,33,70,13,53,32,66,46,2,30,31,6,5,52,43,42,48,69,1,9,47,41,63,65,62,27,71,61,21,50,29,3,26,11,68,23,10,8,25,44,73,28,51,45,49,64,22,4,72,1
21,29,0,0,68,33,73,4,31,69,22,62,71,41,42,28,61,50,67,6,49,27,3,9,45,30,2,32,65,46,5,51,7,63,10,43,64,25,23,11,70,72,47,48,13,8,66,52,53,12,24,1,44,26,1
13,30,0,0,7,12,46,51,53,62,69,9,63,21,71,66,70,65,1,24,4,43,44,52,61,29,31,8,5,48,45,32,6,33,50,25,22,11,73,49,23,10,68,64,27,67,3,72,47,2,41,28,26,42,3
47,13,0,0,43,1,23,64,24,27,7,63,49,45,67,65,71,21,62,70,22,69,4,9,32,2,10,44,28,73,51,53,26,29,50,30,33,31,41,25,48,46,8,42,12,66,5,68,11,52,72,6,3,61,3
53,32,0,0,64,65,9,45,6,27,63,8,22,23,31,49,28,1,25,29,46,3,2,42,10,73,4,33,30,44,62,69,7,67,51,70,12,72,71,47,41,68,66,26,52,48,11,13,61,43,21,5,50,24,1
25,32,0,0,22,46,53,31,42,5,73,10,69,50,30,28,49,61,64,24,6,43,1,63,41,12,45,11,8,66,52,65,47,21,48,29,62,72,67,2,51,68,27,23,44,26,4,13,3,7,9,33,70,71,2
72,1,0,0,67,21,48,30,73,66,9,28,29,5,47,23,51,33,50,3,13,69,8,25,70,31,71,45,62,53,26,64,65,4,43,68,63,41,11,6,49,7,10,32,61,44,42,46,27,52,12,24,22,2,1
45,63,0,0,33,8,4,3,28,44,32,65,43,11,49,21,52,1,72,53,12,47,27,25,69,7,46,13,70,9,6,23,41,22,48,62,68,29,26,64,10,2,71,31,73,24,61,50,67,42,30,66,51,5,2
48,66,0,0,33,30,47,27,4,11,13,9,32,68,70,73,64,21,23,41,46,24,72,10,3,67,50,25,69,49,22,51,26,42,62,71,63,2,29,61,45,65,31,43,5,53,12,52,8,6,44,28,1,7,2
42,21,0,0,52,22,63,13,1,64,62,51,53,46,47,29,41,26,6,70,43,7,73,4,10,12,8,32,30,23,11,72,3,27,31,44,45,33,50,5,71,49,66,61,28,2,25,24,67,65,68,48,69,9,3
12,67,0,0,31,11,41,64,8,32,45,2,49,62,51,10,47,4,22,50,1,23,9,24,44,46,6,70,63,7,26,28,52,27,53,73,3,21,43,48,13,25,61,5,33,42,29,72,66,30,71,68,69,65,1
67,5,0,0,29,2,49,31,44,62,51,72,70,11,3,26,1,8,71,46,27,65,69,33,21,28,10,50,12,4,13,66,64,73,6,30,41,48,45,32,52,25,9,53,43,22,61,42,68,24,23,63,47,7,3
62,64,0,0,44,7,28,68,72,69,21,1,42,66,12,53,52,6,63,41,48,47,26,13,70,11,67,5,23,22,33,8,25,43,30,2,61,29,46,10,51,49,27,50,9,65,73,71,24,31,32,4,45,3,1
2,67,0,0,23,25,27,31,30,44,66,5,68,33,45,26,13,52,49,46,22,50,11,51,41,62,61,9,24,28,43,10,4,7,64,65,29,70,63,21,12,48,6,47,32,72,8,71,73,1,42,3,53,69,1
3,21,0,0,44,11,5,72,29,22,51,62,9,63,70,27,28,25,71,24,23,52,7,46,4,53,41,30,42,13,12,6,50,31,67,33,68,69,66,8,64,32,10,26,73,48,45,2,49,43,65,61,47,1,1
27,2,0,0,12,64,31,66,43,67,33,28,42,63,5,4,26,46,9,13,41,49,50,65,10,30,21,53,23,52,68,6,7,3,29,8,62,47,73,22,24,72,32,45,71,11,61,1,25,44,70,48,69,51,3
42,8,0,0,51,2,31,28,21,66,52,4,63,61,33,10,69,41,71,70,25,50,7,30,64,12,44,11,65,26,67,23,43,46,62,9,29,68,45,73,3,53,47,48,32,6,1,24,72,5,49,13,27,22,1
65,41,0,0,69,62,7,10,23,12,8,50,70,52,30,64,22,71,4,24,72,44,42,26,47,46,49,27,33,29,11,48,68,25,13,43,51,31,73,5,32,6,21,66,67,9,63,2,1,53,61,28,45,3,1
27,33,0,0,2,71,62,24,4,69,31,63,11,6,70,49,46,28,52,13,21,26,42,1,67,72,5,30,73,25,45,61,51,32,50,23,68,29,66,7,44,47,22,53,12,65,41,10,8,64,3,48,43,9,3
43,26,0,0,32,45,33,42,52,66,12,6,61,25,69,9,24,21,5,4,51,7,28,13,23,10,64,2,62,71,46,50,49,30,73,3,29,8,41,1,68,27,31,65,48,67,47,53,11,70,44,72,63,22,1
65,48,0,0,43,42,63,9,61,28,3,31,27,12,44,22,73,51,67,30,29,52,11,24,4,41,23,62,69,50,7,2,66,13,32,45,5,70,21,1,71,25,47,6,49,10,64,26,68,8,72,33,46,53,1
3,26,0,0,4,71,63,24,44,67,41,8,52,13,21,32,47,70,9,68,66,73,10,1,43,28,61,31,51,72,65,49,46,23,64,29,45,22,2,7,25,69,48,30,12,6,50,5,42,27,33,62,53,11,1
49,13,0,0,65,1,23,68,8,28,41,70,43,21,52,46,53,45,51,25,63,4,22,6,9,24,32,69,44,73,12,48,27,64,11,29,72,3,33,47,7,67,71,10,30,26,62,66,5,2,50,31,61,42,3
46,44,0,0,67,12,8,30,32,10,7,53,27,50,68,28,72,11,43,33,4,29,70,61,52,26,62,21,42,3,73,41,47,71,51,64,69,49,48,31,23,24,45,5,66,9,1,22,2,25,63,65,6,13,1
69,44,0,0,2,23,26,71,52,1,31,10,32,22,21,11,25,65,53,70,27,5,43,28,61,67,62,24,33,9,45,30,68,29,66,6,63,8,41,47,4,51,3,7,48,64,12,73,46,42,49,72,50,13,2
12,43,0,0,8,10,47,45,63,22,21,24,25,48,65,4,11,6,2,71,28,7,30,69,61,52,64,26,53,29,23,3,31,44,70,67,1,51,46,9,27,32,68,50,73,42,41,72,5,49,13,66,62,33,1
65,29,0,0,7,31,44,71,13,25,52,53,27,51,6,64,2,3,50,47,42,9,8,62,22,24,33,43,61,68,41,28,32,49,69,67,70,72,26,45,10,11,46,30,66,73,4,1,48,21,63,5,23,12,1
62,67,0,0,4,47,49,25,13,43,24,21,9,61,48,7,42,53,44,69,71,33,66,29,51,50,12,41,10,26,70,52,23,45,32,1,8,73,11,68,5,63,27,30,28,6,31,2,46,22,65,72,3,64,1
32,48,0,0,44,46,21,24,71,43,52,29,64,26,11,12,31,10,68,73,50,27,66,28,42,53,30,6,22,45,9,69,41,65,70,23,67,7,61,4,33,1,47,13,51,3,2,25,8,5,72,62,63,49,1
25,43,0,0,27,62,24,70,23,9,46,1,47,32,28,30,11,61,2,71,41,66,29,8,4,52,10,3,13,69,44,63,67,6,33,50,73,72,5,49,51,7,22,31,65,45,12,21,48,26,68,42,53,64,1
70,69,0,0,33,22,4,63,10,3,30,53,49,24,61,46,71,27,51,13,42,64,45,26,7,31,47,1,44,65,73,72,52,41,2,50,25,12,62,9,32,48,11,23,68,66,8,21,29,67,6,5,43,28,1
71,50,0,0,30,72,52,32,31,48,33,23,65,26,10,8,7,70,3,6,47,12,2,21,45,51,67,53,29,49,43,46,64,42,4,66,28,27,9,61,68,22,62,44,13,5,73,63,41,24,25,69,1,11,1
1,63,0,0,62,5,2,64,52,48,70,32,6,13,9,49,12,68,44,47,4,21,24,50,33,22,41,65,10,43,72,26,46,25,27,8,42,66,11,45,28,29,23,7,61,71,30,3,53,51,31,69,73,67,3
22,42,0,0,65,45,61,67,2,9,52,33,24,13,66,64,3,47,71,10,41,21,26,48,1,28,29,12,31,63,44,7,23,53,70,69,5,30,73,72,68,62,32,25,8,4,43,27,50,6,51,11,46,49,3
25,6,0,0,33,51,23,41,65,13,32,28,50,12,42,72,52,68,49,11,69,3,48,8,63,30,4,5,31,24,21,44,70,66,71,2,7,62,26,43,61,27,9,47,46,10,1,45,22,67,53,64,29,73,1
13,73,0,0,4,3,63,42,62,41,65,11,71,33,66,67,30,29,43,70,23,49,44,64,25,9,51,47,12,32,6,24,7,68,1,28,26,46,5,72,45,52,61,8,69,22,50,31,48,2,27,53,21,10,1
61,72,0,0,48,41,62,53,25,3,47,9,13,49,32,70,12,42,51,50,21,11,5,26,65,33,10,71,1,29,27,43,8,6,52,23,67,22,2,24,45,44,69,4,30,68,63,73,31,46,64,7,28,66,2
49,26,0,0,21,33,47,72,1,3,67,41,63,64,69,45,8,9,66,44,61,10,6,27,25,29,71,13,7,48,12,68,46,42,22,23,32,11,62,24,43,30,53,31,73,51,65,52,50,5,70,2,28,4,1
70,51,0,0,12,6,25,21,47,44,50,26,7,49,53,3,42,9,1,31,65,63,29,23,28,30,13,2,41,61,62,5,45,52,27,46,8,10,73,11,4,69,22,33,43,66,71,48,64,68,24,72,67,32,3
46,62,0,0,5,70,50,4,11,72,43,22,61,45,65,68,30,27,42,2,51,6,29,41,23,48,7,71,10,28,73,8,21,31,67,1,44,12,24,63,66,49,26,9,64,33,3,52,69,47,25,32,13,53,1
27,52,0,0,41,29,67,49,3,11,51,43,61,65,28,50,72,63,44,68,32,48,73,23,26,2,6,10,62,45,5,70,22,46,13,7,4,21,66,24,30,47,69,1,9,8,31,64,25,12,53,71,33,42,1
12,30,0,0,70,53,10,45,69,32,9,21,52,61,68,48,41,5,66,46,7,2,73,29,4,6,8,49,72,51,65,13,28,27,11,24,1,22,50,31,44,3,63,67,71,26,47,62,25,23,43,33,64,42,1
5,1,0,0,11,43,23,44,4,64,52,45,22,8,47,29,68,24,7,2,12,70,50,10,66,49,6,31,21,72,65,9,53,26,33,62,46,69,73,63,42,48,32,25,28,27,3,30,13,61,41,71,51,67,1
9,67,0,0,28,63,21,8,7,52,22,46,29,43,53,47,68,51,61,70,2,65,30,62,26,72,42,12,4,41,23,1,27,24,6,32,5,48,66,64,49,3,25,13,45,73,11,10,33,31,69,71,44,50,1
44,22,0,0,67,10,4,7,12,2,31,24,11,21,30,42,71,63,43,32,46,52,27,23,41,8,73,72,3,13,50,1,62,29,51,28,49,25,33,70,9,47,65,69,66,26,45,61,48,64,68,53,5,6,1
44,71,0,0,50,25,70,11,42,61,12,31,67,2,7,48,52,47,21,62,10,64,23,8,6,4,69,73,51,29,72,32,63,49,68,33,28,3,46,30,53,27,22,5,66,24,43,26,9,65,45,13,1,41,1
9,62,0,0,2,68,45,27,26,65,1,8,63,64,43,67,24,52,47,25,50,61,33,32,23,44,31,21,11,7,6,28,49,4,72,10,51,70,71,73,13,46,30,41,12,22,5,29,53,48,3,42,66,69,2
49,44,0,0,51,8,25,2,3,1,9,42,71,41,26,62,28,33,24,23,6,50,32,66,29,22,5,61,43,52,68,27,70,48,21,64,10,12,11,63,53,69,31,46,73,13,45,65,67,7,4,72,47,30,1
13,64,0,0,52,3,6,69,70,21,50,68,48,43,67,49,23,61,45,41,2,31,27,11,25,66,29,7,44,22,24,4,73,9,5,8,12,10,26,1,71,46,32,30,33,62,28,42,53,72,51,63,65,47,1
70,53,0,0,25,8,62,29,22,32,5,21,47,67,2,45,63,66,9,28,10,31,13,41,26,23,49,68,46,1,72,73,4,3,48,65,24,11,30,61,50,69,52,51,64,71,27,33,44,43,12,6,7,42,1
72,70,0,0,29,73,44,63,26,50,11,64,24,47,2,13,52,30,41,32,31,22,1,28,27,67,49,9,5,71,25,69,33,8,7,43,6,61,46,68,51,65,10,12,3,66,45,21,48,62,4,23,42,53,1
32,2,0,0,49,65,67,69,50,4,28,70,46,9,8,30,72,68,23,11,41,63,73,53,12,66,42,22,25,27,43,62,21,71,31,33,5,3,61,13,64,24,26,44,45,1,51,48,29,7,47,10,52,6,2
32,45,0,0,10,53,22,41,30,48,7,49,51,25,71,6,47,50,27,69,3,23,31,61,2,44,43,9,42,1,67,66,62,26,72,52,21,70,33,5,64,46,65,8,73,11,29,24,13,68,12,28,4,63,3
32,1,0,0,8,65,12,7,70,43,10,69,23,47,29,50,25,72,28,26,53,52,31,21,2,4,24,30,22,11,62,44,71,63,46,61,64,49,27,48,6,9,33,45,67,68,42,66,5,13,73,41,3,51,3
51,71,0,0,47,68,11,52,25,70,48,7,64,24,29,33,23,43,69,41,32,72,13,65,26,67,44,66,10,42,5,22,12,45,30,61,1,3,46,53,27,21,28,62,2,31,9,6,50,49,4,63,8,73,2
47,44,0,0,26,42,43,72,50,49,53,28,24,70,5,69,1,62,65,27,68,45,61,41,64,51,31,52,25,32,23,33,29,63,3,21,66,6,73,71,8,2,22,12,13,10,48,11,7,67,46,4,30,9,3
72,53,0,0,51,50,68,9,3,21,10,69,7,25,43,46,67,66,4,71,44,47,29,13,52,12,65,42,31,6,11,48,62,32,61,5,33,64,41,22,27,8,70,49,45,2,26,24,23,73,1,28,30,63,1
5,67,0,0,65,73,11,10,71,4,61,12,64,62,51,53,28,70,8,27,50,42,2,72,22,52,46,47,3,24,21,48,9,31,32,23,45,29,43,25,13,44,33,1,26,66,6,30,63,7,68,49,41,69,3
5,46,0,0,67,61,8,10,63,9,24,44,31,48,53,4,41,47,12,72,29,22,25,42,1,66,49,26,73,33,69,62,51,21,70,30,2,23,64,45,50,7,52,32,71,65,68,11,27,28,13,43,3,6,1
27,30,0,0,73,12,21,69,24,3,9,44,23,6,26,42,1,47,13,10,8,45,71,72,32,67,52,28,41,25,50,68,66,62,22,65,2,64,5,7,4,49,70,48,31,33,61,29,43,53,11,63,51,46,3
64,49,0,0,41,30,3,47,7,1,5,23,10,52,11,22,8,48,42,62,27,61,2,72,25,66,21,24,53,33,26,31,51,28,67,71,45,29,68,43,32,4,6,65,50,63,9,12,70,44,69,46,73,13,3
22,52,0,0,25,6,31,71,10,8,65,11,9,49,70,41,2,67,28,48,43,26,27,3,7,21,5,13,50,23,69,29,24,64,47,4,32,61,62,51,53,30,1,63,66,72,45,46,42,12,68,33,44,73,3
7,2,0,0,67,43,51,42,11,5,30,49,62,21,65,66,33,72,3,24,41,52,50,63,70,28,13,44,46,53,10,73,29,6,8,48,47,68,45,27,22,31,25,32,61,26,12,71,69,23,64,1,9,4,1
33,72,0,0,47,8,48,61,50,49,9,28,10,62,7,46,13,6,45,5,73,11,4,41,69,42,53,70,43,31,64,12,22,3,51,52,71,66,21,2,63,30,1,32,67,68,27,23,29,65,25,24,44,26,1
73,31,0,0,67,2,66,71,29,69,65,45,22,7,50,63,46,28,27,1,48,61,68,41,12,42,52,44,24,4,3,62,23,25,53,21,47,43,5,49,8,70,13,32,26,9,72,64,11,10,30,6,51,33,1
71,11,0,0,5,29,12,63,42,70,28,51,32,13,9,3,43,73,68,2,62,52,27,61,46,31,23,44,33,7,69,49,1,45,65,25,30,10,41,66,72,50,53,22,21,24,67,26,48,47,8,64,6,4,1
45,5,0,0,11,28,22,21,69,8,61,44,10,68,43,6,65,66,50,72,24,13,71,51,49,70,7,27,1,12,73,42,3,32,30,62,41,25,33,29,47,26,67,53,23,63,48,52,31,2,46,9,4,64,3
63,6,0,0,44,51,21,50,25,22,72,2,65,9,71,62,8,3,66,12,61,11,28,23,53,27,13,41,70,29,48,43,42,5,33,31,73,64,46,1,69,24,52,4,47,49,68,10,45,32,26,7,30,67,1
71,43,0,0,27,67,66,8,23,4,9,53,11,32,73,65,28,68,12,13,24,30,72,25,46,29,42,48,52,44,70,62,10,61,3,6,49,47,41,22,26,45,64,1,7,5,69,33,50,31,2,21,63,51,1
69,48,0,0,73,29,24,44,33,70,42,10,66,71,2,45,8,21,72,51,23,28,7,9,1,68,27,31,32,4,11,62,22,65,61,3,64,52,6,46,26,53,47,41,5,25,43,49,13,30,67,50,12,63,1
47,26,0,0,21,25,27,61,3,63,62,69,49,9,70,8,72,29,32,43,45,65,12,64,46,6,66,7,24,1,51,5,52,68,71,48,30,22,23,50,10,2,44,41,67,53,42,73,13,11,4,31,33,28,1
73,67,0,0,24,12,6,27,47,48,5,21,22,31,71,3,68,69,28,62,25,23,10,52,53,33,70,30,29,49,72,26,13,50,51,46,44,8,64,11,7,4,63,42,41,66,9,65,43,2,32,1,45,61,1
62,30,0,0,67,23,65,1,46,28,52,24,5,64,27,71,21,51,2,25,10,3,8,22,13,12,72,66,26,44,6,9,63,73,29,7,53,33,45,68,61,48,49,42,4,47,41,31,43,11,69,32,50,70,1
25,68,0,0,12,46,13,50,48,62,10,9,29,28,30,32,49,21,44,2,4,23,65,41,64,71,3,51,73,5,24,47,31,52,27,43,42,53,6,69,67,22,8,72,33,61,63,11,1,70,26,45,7,66,3
3,52,0,0,32,5,66,24,1,73,23,46,26,30,31,49,48,28,11,45,70,13,72,62,65,47,29,53,2,69,4,43,68,64,12,41,8,71,33,67,61,22,51,6,25,27,10,50,42,63,7,44,9,21,1
11,8,0,0,63,62,44,51,61,48,66,5,4,67,29,68,28,10,30,6,9,64,49,12,7,31,53,41,72,25,26,33,13,73,69,24,45,65,1,32,43,50,70,22,27,21,52,2,42,3,23,46,71,47,1
52,41,0,0,53,8,29,32,64,23,27,22,45,65,72,30,62,1,67,5,49,73,31,7,10,42,21,69,3,24,12,44,48,50,13,4,43,47,70,26,61,63,9,25,66,68,46,71,28,33,6,2,11,51,1
6,50,0,0,42,26,32,67,45,10,28,8,72,47,4,52,3,1,33,63,71,23,5,73,22,9,2,51,69,41,61,62,48,66,29,25,53,44,43,21,7,27,65,70,13,11,12,24,31,30,68,64,46,49,1
62,28,0,0,46,3,8,21,2,48,64,65,29,30,69,49,43,53,13,33,4,51,31,67,27,22,41,73,5,63,9,52,10,50,12,66,32,24,44,23,42,6,61,11,72,70,71,45,47,26,68,1,7,25,1
71,27,0,0,62,52,26,63,8,64,65,28,44,49,32,4,47,51,73,23,30,43,3,10,13,7,69,22,1,5,41,12,46,66,61,29,24,11,2,21,25,53,70,48,6,68,9,31,42,72,45,50,67,33,2
63,49,0,0,28,26,27,65,61,73,25,33,30,10,12,64,72,46,29,62,5,24,47,3,4,2,6,32,9,1,23,22,50,41,42,48,8,69,31,44,13,11,53,71,7,21,70,51,43,68,52,67,66,45,2
50,69,0,0,27,6,23,7,32,64,70,49,67,61,68,1,71,47,22,72,66,25,45,52,30,48,53,26,31,28,43,24,41,62,33,9,4,8,63,11,51,5,73,2,65,21,46,12,3,10,44,13,29,42,2
43,73,0,0,30,49,29,42,48,23,66,32,1,25,13,52,44,69,62,6,61,22,67,26,24,65,45,2,21,10,7,51,33,68,70,27,4,50,63,72,11,71,12,28,3,8,53,9,47,46,64,41,5,31,1
46,72,0,0,69,11,53,48,68,1,33,66,65,13,22,26,21,49,67,3,32,70,23,64,50,25,43,28,45,52,4,27,12,44,51,73,10,62,2,41,6,5,30,61,42,71,29,9,8,31,24,63,47,7,1
41,26,0,0,24,62,23,5,27,1,70,22,65,9,73,51,67,49,61,43,52,30,53,10,45,2,28,32,71,44,7,68,33,4,8,48,31,69,21,6,3,50,12,72,47,11,46,13,25,29,66,42,63,64,1
12,22,0,0,51,26,33,43,67,11,5,49,42,8,63,68,45,7,41,72,46,71,2,66,1,25,10,24,4,27,32,13,3,47,6,9,50,53,69,30,23,61,29,52,62,65,31,21,64,70,73,48,44,28,1
12,9,0,0,25,67,7,73,31,24,66,22,6,69,11,49,52,13,8,43,41,28,33,61,10,3,62,2,64,47,4,42,44,72,65,30,27,45,1,23,21,68,26,5,29,32,46,48,53,70,71,50,63,51,3
69,6,0,0,52,61,72,3,63,49,25,42,48,24,11,71,64,12,21,10,68,1,31,9,32,44,53,4,45,5,7,47,23,28,22,26,41,13,27,8,67,62,30,33,73,29,46,43,70,66,50,2,65,51,2
45,2,0,0,33,68,29,26,51,50,9,24,22,8,7,43,13,64,73,6,48,10,53,23,72,47,52,1,65,30,63,3,71,28,49,27,31,70,44,32,25,69,67,62,46,11,42,41,12,5,61,4,21,66,1
